out,lik,trans,ceil
STAI_X1_HS,gaussian,NA,NA
STAI_X_2_HS,gaussian,NA,NA
BDI_II_total_score,gaussian,NA,NA
MDRS_attention,gaussian,root,NA
MDRS_initiation,gaussian,root,NA
MDRS_construction,binomial,NA,6
MDRS_conception,gaussian,root,NA
MDRS_.memory,gaussian,root,NA
MDRS_total,gaussian,root,NA
Total_.AVLT.1_5,gaussian,NA,NA
AVLT_T6,binomial,NA,15
AVLT_T7,binomial,NA,15
AVLT_T8,binomial,NA,15
AVLT_correct,binomial,NA,15
AVLT_false,binomial,NA,50
BMVTR_Total_1_3,gaussian,NA,NA
BMVTR_delayed_recall,binomial,NA,12
BVMTR_correct,binomial,NA,6
BVMTR_false,binomial,NA,6
Stroop_points,gaussian,log,NA
Stroop_neutral_words,gaussian,log,NA
Stroop_color_words,gaussian,log,NA
S_mistakes,poisson,NA,NA
TOL_HS,gaussian,NA,NA
number_letter_sequencing,binomial,NA,21
TMT_A_s,gaussian,log,NA
TMT_B_s,gaussian,log,NA
JLO,gaussian,NA,NA
Similarities,gaussian,NA,NA
Clock_test_total,gaussian,NA,NA
VF_K,gaussian,NA,NA
VF_P,gaussian,NA,NA
VF_S,gaussian,NA,NA
KF_animals_total,gaussian,NA,NA
KF_vegetables_total,gaussian,NA,NA
BNT_correct,binomial,NA,30
BNT_semantic,binomial,NA,30
BNT_phonemic,binomial,NA,30
